שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
נחלת דוד על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא מציעא.txt,Dicta,325
נחלת דוד על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא בתרא.txt,Dicta,89
נחלת דוד על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא קמא.txt,Dicta,272
לבוש מרדכי על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר נשים/לבוש מרדכי על יבמות.txt,Dicta,755
לבוש מרדכי על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר נשים/לבוש מרדכי על גיטין.txt,Dicta,290
לבוש מרדכי בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר נזיקין/לבוש מרדכי בבא מציעא.txt,Dicta,1583
לבוש מרדכי על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר קדשים/לבוש מרדכי על מנחות.txt,Dicta,107
לבוש מרדכי על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר קדשים/לבוש מרדכי על זבחים.txt,Dicta,443
לבוש מרדכי על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר קדשים/לבוש מרדכי על מעילה.txt,Dicta,58
ים של שלמה על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על חולין.txt,Dicta,1628
ים של שלמה על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על גיטין.txt,Dicta,990
ים של שלמה על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על כתובות.txt,Dicta,400
ים של שלמה על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על קידושין.txt,Dicta,423
ים של שלמה על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר מועד/ים של שלמה על ביצה.txt,Dicta,511
קרן אורה ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר זרעים/קרן אורה ברכות.txt,Dicta,141
קרן אורה על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על נזיר.txt,Dicta,1398
קרן אורה על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על יבמות.txt,Dicta,1444
קרן אורה על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על נדרים.txt,Dicta,1172
קרן אורה על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נזיקין/קרן אורה על סנהדרין.txt,Dicta,76
קרן אורה על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נזיקין/קרן אורה על הוריות.txt,Dicta,186
קרן אורה על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על מנחות.txt,Dicta,836
קרן אורה דיני טריפות על מסכת חולין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה דיני טריפות על מסכת חולין.txt,Dicta,49
קרן אורה על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על מעילה.txt,Dicta,348
קרן אורה על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על זבחים.txt,Dicta,1263
קרן אורה על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על תענית.txt,Dicta,231
